processed 7117 tokens with 1091 phrases; found: 1129 phrases; correct: 333.
accuracy:  68.92%; precision:  29.50%; recall:  30.52%; FB1:  30.00
       actor.name: precision:  50.00%; recall:  23.75%; FB1:  32.20  38
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  13
     country.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    director.name: precision:  52.94%; recall:  11.11%; FB1:  18.37  17
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   movie.language: precision:  11.76%; recall:   2.90%; FB1:   4.65  17
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  27.34%; recall:  55.60%; FB1:  36.66  962
movie.release_date: precision:  53.33%; recall:  27.59%; FB1:  36.36  15
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    producer.name: precision:   6.25%; recall:   1.37%; FB1:   2.25  16
      rating.name: precision:  65.96%; recall:  50.82%; FB1:  57.41  47
